# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.2
#@/tick	42928
#@/user_id	ab7a14e5-ae21-41f1-b36e-b856550d5341
a 	啊	c=63 d=0.402358 t=42928
xian xiang 	現象	c=4 d=3.58651e-55 t=42928
xian you 	現有	c=9 d=3.25659e-08 t=42928
xian yu 	閒魚	c=2 d=9.75974e-09 t=42928
xian yu 	鹹魚	c=1 d=2.77736e-47 t=42928
xian zai 	現在	c=218 d=0.88911 t=42928
xian zhe 	閒着	c=1 d=2.5647e-51 t=42928
xian zhi 	限制	c=20 d=0.034562 t=42928
xian zhi deng ji 	限制等級	c=1 d=1.35603e-83 t=42928
xian zuo 	先做	c=1 d=3.63193e-56 t=42928
xiang 	像	c=12 d=0.0129731 t=42928
xiang 	向	c=3 d=0.0338776 t=42928
xiang 	想	c=29 d=0.0146058 t=42928
xiang 	鄉	c=0 d=1.6687e-25 t=42928
xiang 	項	c=2 d=2.94919e-18 t=42928
xiang 	香	c=1 d=2.45451e-06 t=42928
xiang ban fa 	想辦法	c=2 d=1.35729e-36 t=42928
xiang bi 	相比	c=4 d=1.99768e-14 t=42928
xiang bu dao 	想不到	c=1 d=1.30725e-05 t=42928
xiang dang yu 	相當於	c=4 d=0.0173355 t=42928
xiang dao 	想到	c=1 d=1.2897e-05 t=42928
xiang dao ni 	想到你	c=1 d=1.36742e-05 t=42928
xiang de 	想得	c=1 d=1.61405e-44 t=42928
xiang deng 	相等	c=2 d=4.95387e-53 t=42928
xiang dou mei xiang 	想都沒想	c=1 d=2.14039e-41 t=42928
xiang dui 	相對	c=1 d=1.67553e-72 t=42928
xiang fa 	想法	c=1 d=3.45175e-75 t=42928
xiang fu 	相符	c=1 d=6.76689e-24 t=42928
xiang gang 	香港	c=1 d=1.07098e-42 t=42928
xiang ge 	像個	c=1 d=7.32152e-39 t=42928
xiang guan 	相關	c=41 d=0.0028159 t=42928
xiang hao 	想好	c=1 d=6.73888e-34 t=42928
xiang ji 	相機	c=1 d=4.36866e-23 t=42928
xiang jiao 	相交	c=1 d=2.44003e-53 t=42928
xiang kai 	想開	c=1 d=8.67557e-06 t=42928
xiang mu 	項目	c=59 d=1.89015 t=42928
xiang qi lai 	想起來	c=1 d=3.55203e-59 t=42928
xiang qing 	詳情	c=14 d=1.9315e-13 t=42928
xiang qu 	想去	c=1 d=1 t=41781
xiang rang 	想讓	c=0 d=1.86305e-27 t=42928
xiang rang ni 	想讓你	c=1 d=1.87238e-26 t=42928
xiang si 	相似	c=3 d=1.13079e-10 t=42928
xiang si du 	相似度	c=1 d=8.38003e-10 t=42928
xiang tong 	相同	c=6 d=0.000154771 t=42928
xiang xi 	詳細	c=6 d=0.718924 t=42928
xiang xiang 	想想	c=1 d=1.69069e-31 t=42928
xiang xiang 	想象	c=1 d=1.69917e-31 t=42928
xiang xiang ban fa 	想想辦法	c=1 d=1.36408e-35 t=42928
xiang yao 	想要	c=2 d=4.60454e-24 t=42928
xiang ying 	相應	c=6 d=1.26599e-10 t=42928
xiang ying 	響應	c=2 d=0.000164928 t=42928
xiang zhe 	想着	c=4 d=2.34802e-43 t=42928
xiang zi li 	箱子裏	c=1 d=1.15479e-46 t=42928
xiao 	小	c=12 d=0.0886983 t=42928
xiao 	驍	c=1 d=3.06267e-21 t=42928
xiao ban ben 	小版本	c=1 d=1 t=42905
xiao cheng xu 	小程序	c=2 d=7.28608e-62 t=42928
xiao chou 	小丑	c=2 d=1.10914e-42 t=42928
xiao chu 	消除	c=1 d=2.58923e-16 t=42928
xiao dian 	笑點	c=1 d=1 t=39801
xiao fang dui 	消防隊	c=1 d=0.308819 t=42928
xiao fei 	消費	c=20 d=0.710365 t=42928
xiao fei fang 	消費方	c=1 d=2.16595e-63 t=42928
xiao fei luo ji 	消費邏輯	c=1 d=3.30637e-10 t=42928
xiao fei zhe 	消費者	c=4 d=0.0251493 t=42928
xiao fei zu 	消費組	c=1 d=2.39082e-78 t=42928
xiao gong ju 	小工具	c=1 d=3.19918e-34 t=42928
xiao gong neng 	小功能	c=1 d=2.40918e-21 t=42928
xiao guo 	效果	c=6 d=6.7804e-08 t=42928
xiao hai 	小孩	c=2 d=0.095293 t=42928
xiao he 	小鶴	c=7 d=5.52537e-60 t=42928
xiao hui 	銷毀	c=1 d=6.79134e-37 t=42928
xiao lang hao 	小狼毫	c=1 d=2.46489e-84 t=42928
xiao leng re 	小冷熱	c=1 d=1.70583e-77 t=42928
xiao liang 	曉亮	c=1 d=1.50385e-65 t=42928
xiao lv 	效率	c=3 d=0.139457 t=42928
xiao mai 	小麥	c=1 d=6.18994e-05 t=42928
xiao mi 	小米	c=1 d=6.28563e-09 t=42928
xiao mian 	削麪	c=1 d=0.26982 t=42928
xiao mie 	消滅	c=1 d=0.271173 t=42928
xiao pen you 	小盆友	c=1 d=3.37535e-47 t=42928
xiao qu 	小區	c=3 d=1.8375e-23 t=42928
xiao shi 	小時	c=10 d=0.597572 t=42928
xiao shi 	消失	c=1 d=7.30037e-05 t=42928
xiao wen ti 	小問題	c=2 d=2.79232e-22 t=42928
xiao wu gui 	小烏龜	c=1 d=1.0345e-46 t=42928
xiao xi 	消息	c=4 d=0.826959 t=42928
xiao xiao 	小小	c=1 d=5.32014e-47 t=42928
xiao xie 	小寫	c=1 d=3.76386e-64 t=42928
xiao yi yuan 	小醫院	c=1 d=1.02319e-05 t=42928
xiao yu 	小於	c=1 d=2.78929e-68 t=42928
xiao zu 	小組	c=1 d=1.21416e-77 t=42928
xie 	些	c=1 d=1.08495e-18 t=42928
xie 	寫	c=73 d=0.0204033 t=42928
xie 	鞋	c=1 d=3.69134e-41 t=42928
xie bu jin 	寫不進	c=1 d=1.07379e-14 t=42928
xie bu xia 	寫不下	c=1 d=8.27187e-63 t=42928
xie cheng 	協程	c=1 d=9.69888e-53 t=42928
xie cheng 	寫成	c=1 d=3.34974e-75 t=42928
xie chu lai 	寫出來	c=1 d=1.27398e-84 t=42928
xie cuo 	寫錯	c=1 d=1.54307e-15 t=42928
xie dai 	攜帶	c=0 d=1.44013e-86 t=42928
xie dai ma 	攜帶嗎	c=1 d=1.44735e-85 t=42928
xie de 	寫的	c=2 d=2.21595e-08 t=42928
xie fa 	寫法	c=3 d=0.000280202 t=42928
xie hao 	寫好	c=1 d=1.03218e-49 t=42928
xie he 	協和	c=2 d=0.000110334 t=42928
xie hui 	寫回	c=1 d=1 t=40139
xie jin lai 	寫進來	c=1 d=6.40238e-49 t=42928
xie le 	寫了	c=1 d=5.72242e-81 t=42928
xie lou 	泄漏	c=0 d=0.1 t=39619
xie qing chu 	寫清楚	c=1 d=5.96731e-74 t=42928
xie ru 	寫入	c=18 d=0.0180672 t=42928
xie ru liang 	寫入量	c=1 d=1.3065e-57 t=42928
xie shang 	寫上	c=2 d=2.42422e-06 t=42928
xie si 	寫死	c=7 d=4.23437e-46 t=42928
xie si de 	寫死的	c=1 d=1.834e-47 t=42928
xie tiao 	協調	c=1 d=2.06917e-84 t=42928
xie wan 	寫完	c=5 d=0.927743 t=42928
xie wan le 	寫完了	c=1 d=1 t=40257
xie xie 	謝謝	c=6 d=6.57382e-07 t=42928
xie xie feng ge 	謝謝峯哥	c=1 d=2.54792e-62 t=42928
xie yi hui er 	寫一會兒	c=1 d=1 t=39741
xie zai 	卸載	c=2 d=2.48601e-08 t=42928
xie zi 	鞋子	c=1 d=7.20224e-81 t=42928
xin 	心	c=1 d=9.32175e-57 t=42928
xin 	新	c=41 d=0.617489 t=42928
xin ban 	新版	c=7 d=2.57327 t=42928
xin ban ben 	新版本	c=3 d=2.51734 t=42169
xin che 	新車	c=2 d=1.41895 t=41667
xin de 	新的	c=1 d=3.21347e-57 t=42928
xin fang dong 	新房東	c=1 d=8.93492e-29 t=42928
xin gong neng 	新功能	c=1 d=1.62103e-36 t=42928
xin ji qi 	新機器	c=1 d=1.42764e-12 t=42928
xin jian 	新建	c=7 d=0.0713613 t=42928
xin jie kou 	新接口	c=1 d=9.7362e-10 t=42928
xin jiu 	新舊	c=1 d=5.5286e-58 t=42928
xin ku 	辛苦	c=12 d=6.13558e-06 t=42928
xin ku ni 	辛苦你	c=2 d=1.10781e-28 t=42928
xin lai 	信賴	c=1 d=9.41193e-82 t=42928
xin lai 	新來	c=6 d=4.72688e-09 t=42928
xin lang 	新浪	c=5 d=1.77852e-06 t=42928
xin li 	心裏	c=1 d=3.73809e-42 t=42928
xin mu zhong 	心目中	c=1 d=7.64525e-48 t=42928
xin pin 	新品	c=1 d=2.59629e-48 t=42928
xin ren 	信任	c=1 d=5.35244e-30 t=42928
xin ren 	新人	c=1 d=5.37927e-30 t=42928
xin shi 	心事	c=1 d=5.44943e-06 t=42928
xin si 	心思	c=1 d=2.14454e-05 t=42928
xin tai 	心態	c=1 d=7.65616e-06 t=42928
xin teng 	心疼	c=1 d=7.41149e-65 t=42928
xin wen 	新聞	c=1 d=4.06059e-45 t=42928
xin xi 	信息	c=53 d=0.0710054 t=42928
xin xi ku 	信息庫	c=1 d=2.10888e-43 t=42928
xin yi 	心意	c=1 d=1.49173e-58 t=42928
xin yong 	信用	c=1 d=1.79732e-74 t=42928
xin zeng 	新增	c=7 d=5.87844e-10 t=42928
xin zhuang tai 	新狀態	c=1 d=1 t=39835
xing 	形	c=4 d=3.31472e-70 t=42928
xing 	性	c=4 d=5.33147e-13 t=42928
xing 	行	c=55 d=0.583977 t=42928
xing ba 	行吧	c=4 d=8.66201e-17 t=42928
xing bu 	行不	c=1 d=1.2088e-25 t=42928
xing bu tong 	行不通	c=1 d=1.50836e-12 t=42928
xing bu xing 	行不行	c=2 d=3.70287e-20 t=42928
xing cheng 	形成	c=1 d=5.91536e-30 t=42928
xing hao 	型號	c=2 d=3.71356e-20 t=42928
xing hao 	幸好	c=1 d=1.0773e-23 t=42928
xing ma 	行嗎	c=1 d=1.84351e-49 t=42928
xing ming 	姓名	c=1 d=5.8384e-23 t=42928
xing neng 	性能	c=7 d=3.59783e-24 t=42928
xing rong 	形容	c=1 d=1 t=40114
xing shi 	形式	c=2 d=8.26932e-30 t=42928
xing tai 	形態	c=4 d=1.40008e-18 t=42928
xing wei 	行爲	c=3 d=4.51567e-30 t=42928
xing xiang 	形象	c=1 d=2.89276e-26 t=42928
xing zheng cun 	行政村	c=1 d=1.69391e-24 t=42928
xiong di 	兄弟	c=2 d=8.59948e-20 t=42928
xiu fu 	修復	c=49 d=0.205892 t=42928
xiu gai 	修改	c=21 d=4.37249e-08 t=42928
xiu hao 	修好	c=1 d=0.19593 t=42928
xiu xi 	休息	c=2 d=6.72284e-06 t=42928
xiu xi qu 	休息區	c=6 d=1.52028e-29 t=42928
xiu xi qu 	休息去	c=1 d=2.09395e-77 t=42928
xiu xi qu he 	休息區和	c=1 d=2.86496e-30 t=42928
xiu zheng 	修正	c=1 d=0.000340532 t=42928
xiu zi 	袖子	c=1 d=7.87113e-67 t=42928
xu 	需	c=2 d=3.09503e-27 t=42928
xu 	須	c=3 d=3.83616e-40 t=42928
xu bu xu yao 	需不需要	c=1 d=2.4426e-36 t=42928
xu hao 	序號	c=1 d=3.394e-53 t=42928
xu ni 	虛擬	c=6 d=4.70991e-42 t=42928
xu qiu 	需求	c=115 d=0.635535 t=42928
xu yao 	需要	c=215 d=1.6819 t=42928
xuan 	懸	c=1 d=8.90976e-84 t=42928
xuan 	選	c=20 d=1.03394e-14 t=42928
xuan ding 	選定	c=1 d=3.14726e-18 t=42928
xuan le 	選了	c=3 d=9.36559e-24 t=42928
xuan ran 	渲染	c=3 d=0.0788664 t=42928
xuan shang 	選上	c=3 d=9.28375e-09 t=42928
xuan wu 	宣武	c=0 d=1.20187e-76 t=42928
xuan wu 	玄武	c=1 d=1.20187e-75 t=42928
xuan wu yi yuan 	宣武醫院	c=1 d=1.2079e-75 t=42928
xuan xiang 	選項	c=4 d=9.19138e-09 t=42928
xuan ze 	選擇	c=18 d=7.22046e-11 t=42928
xuan ze qi 	選擇器	c=1 d=1.19734e-60 t=42928
xuan zhong 	選中	c=3 d=6.13686e-20 t=42928
xue 	學	c=1 d=7.1495e-24 t=42928
xue di 	雪地	c=1 d=1.61235e-61 t=42928
xue hui 	學會	c=1 d=4.28042e-77 t=42928
xue li 	學歷	c=1 d=2.2685e-19 t=42928
xue ming 	學名	c=1 d=6.97914e-05 t=42928
xue qian jiao yu 	學前教育	c=1 d=2.88098e-19 t=42928
xue qian jiao yu ke 	學前教育科	c=1 d=2.7295e-19 t=42928
xue sheng 	學生	c=1 d=1 t=41457
xue xi 	學習	c=9 d=8.96139e-05 t=42928
xun fei 	訊飛	c=1 d=6.16431e-15 t=42928
xun huan 	循環	c=1 d=0.0833256 t=42928
xun mo 	尋摸	c=1 d=1.58871e-05 t=42928
xun wen 	詢問	c=0 d=4.36792e-22 t=42928
xun wen ta 	詢問他	c=1 d=4.38981e-21 t=42928
ya 	呀	c=76 d=0.845344 t=42928
ya 	壓	c=4 d=2.34401e-05 t=42928
ya li 	壓力	c=1 d=0.00136719 t=42928
ya po 	壓迫	c=1 d=6.34515e-61 t=42928
ya suo 	壓縮	c=9 d=2.83075e-05 t=42928
ya suo bao 	壓縮包	c=1 d=2.2444e-11 t=42928
yan 	眼	c=1 d=7.13954e-37 t=42928
yan chi 	延遲	c=41 d=0.772264 t=42928
yan chi dui lie 	延遲隊列	c=1 d=1.03591e-62 t=42928
yan fa 	研發	c=9 d=0.758566 t=42928
yan ge 	嚴格	c=5 d=3.54358e-07 t=42928
yan hou 	延後	c=1 d=1.83375e-16 t=42928
yan ji 	演技	c=0 d=1.66462e-55 t=42928
yan ji cha 	演技查	c=1 d=1.67296e-54 t=42928
yan jin 	嚴謹	c=1 d=2.31866e-41 t=42928
yan jing 	眼睛	c=1 d=1.13647e-05 t=42928
yan jiu 	研究	c=11 d=9.16921e-10 t=42928
yan kan 	眼看	c=3 d=3.93937e-12 t=42928
yan li 	嚴厲	c=1 d=4.23437e-38 t=42928
yan li 	眼裏	c=1 d=4.21325e-38 t=42928
yan long 	延龍	c=14 d=0.0826959 t=42928
yan qi 	延期	c=2 d=2.86674e-81 t=42928
yan se 	顏色	c=5 d=4.47857e-48 t=42928
yan shi 	延時	c=2 d=5.98478e-58 t=42928
yan shou 	驗收	c=1 d=1.43553e-18 t=42928
yan xia 	眼下	c=1 d=1 t=42827
yan yong 	沿用	c=2 d=1.70322e-59 t=42928
yan zheng 	驗證	c=23 d=0.0871609 t=42928
yan zhong 	嚴重	c=5 d=3.04895e-27 t=42928
yan zhong xing 	嚴重性	c=1 d=3.88311e-78 t=42928
yang 	楊	c=2 d=2.63382e-11 t=42928
yang 	樣	c=1 d=2.54393e-73 t=42928
yang 	癢	c=3 d=0.000183672 t=42928
yang 	羊	c=1 d=0.000437252 t=42928
yang 	養	c=1 d=9.72524e-06 t=42928
yang ben 	樣本	c=1 d=9.70745e-34 t=42928
yang bing 	養病	c=0 d=1.20999e-67 t=42928
yang de li hai 	癢的厲害	c=1 d=8.19009e-05 t=42928
yang guang 	楊光	c=1 d=1 t=41178
yang lao 	養老	c=3 d=1.82948e-68 t=42928
yang mao 	羊毛	c=1 d=5.00877e-14 t=42928
yang shi 	樣式	c=3 d=1.19759e-33 t=42928
yang shuo 	楊碩	c=11 d=1.5929e-43 t=42928
yang xiao hai 	養小孩	c=1 d=1.85988e-06 t=42928
yang zi 	樣子	c=3 d=0.00565622 t=42928
yang zong 	楊總	c=1 d=5.32829e-65 t=42928
yao 	姚	c=1 d=2.14265e-24 t=42928
yao 	搖	c=4 d=2.36446e-16 t=42928
yao 	藥	c=5 d=0.000157764 t=42928
yao 	要	c=194 d=1.5887 t=42928
yao ba 	要把	c=1 d=1 t=40004
yao bu 	要不	c=5 d=8.64259e-20 t=42928
yao bu chen yang 	要不晨楊	c=1 d=4.24749e-45 t=42928
yao bu yao 	要不要	c=3 d=0.000699601 t=42928
yao hao 	搖號	c=3 d=1.69029e-16 t=42928
yao jia 	要加	c=1 d=8.68711e-51 t=42928
yao kong 	遙控	c=1 d=3.14779e-20 t=42928
yao me 	要麼	c=2 d=1.9802 t=42425
yao qiu 	要求	c=24 d=0.00883418 t=42928
yao sha gei sha 	要啥給啥	c=1 d=2.44335e-69 t=42928
yao shi 	要是	c=4 d=8.12376e-26 t=42928
yao wu yin xun 	杳無音訊	c=1 d=9.30401e-64 t=42928
yao you 	要有	c=1 d=1.13119e-09 t=42928
yao zhong 	搖中	c=2 d=0.000642592 t=42928
yao zuo 	要做	c=2 d=1.30747e-07 t=42928
ye 	也	c=236 d=1.82518 t=42928
ye 	爺	c=1 d=1.04977e-42 t=42928
ye 	野	c=1 d=8.74162e-07 t=42928
ye 	頁	c=13 d=1.01805e-34 t=42928
ye ban 	夜班	c=1 d=3.96666e-05 t=42928
ye bu bao han 	也不包含	c=1 d=3.55517e-40 t=42928
ye bu neng 	也不能	c=1 d=9.5133e-61 t=42928
ye bu zhi dao 	也不知道	c=1 d=2.08939e-22 t=42928
ye dei 	也得	c=5 d=2.05241e-39 t=42928
ye dou 	也都	c=2 d=0.000117979 t=42928
ye dou xing 	也都行	c=1 d=4.62211e-10 t=42928
ye dui 	也對	c=1 d=2.95412e-67 t=42928
ye hui 	也會	c=2 d=0.113042 t=42928
ye jian 	夜間	c=1 d=1.383e-50 t=42928
ye jiu 	也就	c=9 d=0.210259 t=42928
ye jiu shi 	也就是	c=6 d=0.1764 t=42928
ye jue de 	也覺得	c=1 d=2.08173e-67 t=42928
ye ke 	也可	c=1 d=8.08603e-31 t=42928
ye ke neng 	也可能	c=1 d=7.67442e-34 t=42928
ye mian 	頁面	c=48 d=0.707225 t=42928
ye mian shang 	也面上	c=2 d=0.0780817 t=42928
ye mian shang 	頁面上	c=1 d=2.36052e-75 t=42928
ye neng 	也能	c=3 d=4.34096e-07 t=42928
ye qian 	頁簽	c=1 d=1.63788e-40 t=42928
ye sheng huo 	夜生活	c=1 d=3.24763e-05 t=42928
ye shi 	也是	c=32 d=0.120339 t=42928
ye shu 	頁數	c=1 d=3.99674e-35 t=42928
ye shuo 	也說	c=1 d=3.25604e-06 t=42928
ye suan 	也算	c=1 d=9.38763e-81 t=42928
ye wu 	業務	c=50 d=1.93154 t=42928
ye wu ban 	業務版	c=23 d=0.509156 t=42928
ye wu ban 	業務辦	c=1 d=5.40405e-84 t=42928
ye wu ban jiang 	業務版將	c=1 d=2.19794e-59 t=42928
ye wu fang 	業務方	c=33 d=0.452515 t=42928
ye xing 	也行	c=9 d=2.63293e-07 t=42928
ye xing ba 	也行吧	c=1 d=2.43456e-56 t=42928
ye xu yao 	也需要	c=1 d=4.66523e-31 t=42928
ye yao 	也要	c=3 d=5.67472e-12 t=42928
ye yi jing 	也已經	c=4 d=0.0042963 t=42928
ye yi yang 	也一樣	c=1 d=0.412714 t=42928
ye you 	也有	c=2 d=2.08359e-08 t=42928
ye you dian 	也有點	c=1 d=1 t=41273
ye you yu 	也由於	c=1 d=1 t=42627
yi 	一	c=7 d=8.48129e-05 t=42928
yi 	以	c=24 d=0.000907334 t=42928
yi 	已	c=30 d=0.888247 t=42928
yi 	易	c=1 d=1.50938e-20 t=42928
yi 	椅	c=1 d=1.70507e-13 t=42928
yi 	溢	c=0 d=2.45451e-06 t=42928
yi ba 	一把	c=1 d=4.9342e-14 t=42928
yi ban 	一半	c=3 d=1.00308e-51 t=42928
yi ban 	一版	c=3 d=8.46253e-37 t=42928
yi ban 	一般	c=5 d=0.00038932 t=42928
yi bei 	一倍	c=3 d=1.319e-49 t=42928
yi bei 	已被	c=3 d=2.09195e-07 t=42928
yi bi 	一比	c=2 d=2.79903e-48 t=42928
yi bian 	一遍	c=7 d=8.5345e-19 t=42928
yi bian 	一邊	c=2 d=1.20383e-06 t=42928
yi bian 	以便	c=1 d=1.58015e-59 t=42928
yi bo 	一波	c=1 d=3.08756e-28 t=42928
yi bu 	一步	c=1 d=2.3688e-28 t=42928
yi bu 	異步	c=20 d=1.51634 t=42928
yi bu fen 	一部分	c=2 d=0.0153752 t=42928
yi ceng 	一層	c=1 d=6.64781e-22 t=42928
yi chang 	異常	c=9 d=3.70921e-39 t=42928
yi chu 	移除	c=7 d=2.57004e-13 t=42928
yi chuan 	遺傳	c=1 d=5.60089e-05 t=42928
yi ci 	一次	c=15 d=2.92392e-05 t=42928
yi ci jian xiao 	一次見效	c=1 d=3.48311e-05 t=42928
yi da dui 	一大堆	c=3 d=2.81262e-19 t=42928
yi da pi 	一大批	c=1 d=1.8325e-08 t=42928
yi da pian 	一大片	c=1 d=0.000100034 t=42928
yi dian 	一點	c=13 d=0.000115067 t=42928
yi diao qian 	一吊錢	c=1 d=2.30075e-38 t=42928
yi ding 	一定	c=8 d=0.677057 t=42928
yi dong 	移動	c=1 d=6.19712e-48 t=42928
yi duan 	一段	c=2 d=2.91163e-73 t=42928
yi duan shi jian 	一段時間	c=1 d=4.69356e-14 t=42928
yi dui 	一堆	c=2 d=1.03221e-20 t=42928
yi dun 	一頓	c=0 d=4.56309e-58 t=42928
yi eng 	以嗯	c=1 d=4.65541e-65 t=42928
yi fan 	一番	c=2 d=2.56923e-13 t=42928
yi fang mian 	一方面	c=3 d=5.76071e-12 t=42928
yi fei qi 	已廢棄	c=1 d=1.14505e-64 t=42928
yi fen 	一份	c=4 d=5.31816e-07 t=42928
yi fen zhong 	一分鐘	c=1 d=5.98582e-81 t=42928
yi fu 	姨夫	c=0 d=1.28753e-33 t=42928
yi gai 	一改	c=1 d=3.45914e-12 t=42928
yi gao 	一搞	c=1 d=1 t=40531
yi ge 	一個	c=212 d=1.53298 t=42928
yi ge ge 	一個個	c=1 d=2.75693e-19 t=42928
yi ge ren 	一個人	c=1 d=3.49606e-78 t=42928
yi ge shi er 	一個事兒	c=1 d=3.15691e-54 t=42928
yi ge yue 	一個月	c=1 d=0.000368894 t=42928
yi gong 	一共	c=3 d=1.02008e-18 t=42928
yi gu 	一股	c=1 d=7.99008e-67 t=42928
yi guo lai 	一過來	c=0 d=9.05549e-70 t=42928
yi guo zhou 	一鍋粥	c=1 d=3.87466e-23 t=42928
yi hang 	一行	c=8 d=0.0992613 t=42928
yi he 	逸鶴	c=1 d=8.5907e-08 t=42928
yi hou 	以後	c=33 d=0.915975 t=42928
yi hua 	一畫	c=0 d=5.68922e-43 t=42928
yi hua chu lai 	一畫出來	c=1 d=5.71774e-42 t=42928
yi hui 	一會	c=1 d=8.33087e-29 t=42928
yi hui er 	一會兒	c=36 d=0.00331533 t=42928
yi huo 	疑惑	c=1 d=4.06764e-36 t=42928
yi jia ren 	一家人	c=1 d=1.251e-17 t=42928
yi jian shi 	一件事	c=2 d=9.46455e-30 t=42928
yi jing 	已經	c=139 d=1.62375 t=42928
yi jing shang xian 	已經上線	c=3 d=3.95912e-12 t=42928
yi ju 	一句	c=1 d=4.69101e-37 t=42928
yi ju 	依據	c=1 d=7.05122e-67 t=42928
yi ju hua 	一句話	c=1 d=1.5015e-76 t=42928
yi kai shi 	一開始	c=1 d=5.27994e-46 t=42928
yi kan 	一看	c=1 d=4.63328e-09 t=42928
yi kuan 	一款	c=0 d=3.61259e-53 t=42928
yi kuan che 	一款車	c=1 d=3.6307e-52 t=42928
yi lai 	依賴	c=23 d=0.00677172 t=42928
yi lian 	一臉	c=0 d=1.04269e-81 t=42928
yi lian meng 	一臉懵	c=1 d=1.04792e-80 t=42928
yi liang 	一兩	c=0 d=5.28174e-51 t=42928
yi liang ju 	一兩句	c=1 d=4.67905e-08 t=42928
yi liang ju hua 	一兩句畫	c=1 d=4.70251e-07 t=42928
yi lie 	一列	c=1 d=1 t=41198
yi liu 	遺留	c=4 d=1.41878e-27 t=42928
yi ma 	一碼	c=0 d=7.02009e-16 t=42928
yi ma shi er 	一碼事兒	c=1 d=7.05528e-15 t=42928
yi mao qian 	一毛錢	c=1 d=3.71059e-14 t=42928
yi nei 	以內	c=2 d=0.000452827 t=42928
yi nian 	一年	c=2 d=7.67549e-19 t=42928
yi nian qian 	一年前	c=1 d=2.0901e-26 t=42928
yi pi 	一批	c=7 d=9.54179e-08 t=42928
yi pian 	一篇	c=1 d=7.25338e-76 t=42928
yi pin ru xi 	一貧如洗	c=1 d=1.49259e-06 t=42928
yi qi 	一期	c=3 d=3.22573e-43 t=42928
yi qi 	一起	c=20 d=1.48987e-06 t=42928
yi qian 	以前	c=11 d=3.1886e-05 t=42928
yi qian jiu 	以前就	c=1 d=1.41604e-63 t=42928
yi qie 	一切	c=1 d=8.35358e-61 t=42928
yi quan 	一圈	c=4 d=0.900325 t=42928
yi que ren 	已確認	c=1 d=3.03374e-27 t=42928
yi shang 	以上	c=6 d=0.00504176 t=42928
yi shang xian 	已上線	c=14 d=1.80697e-09 t=42928
yi she 	已設	c=1 d=3.82673e-53 t=42928
yi shen 	一身	c=1 d=8.83821e-48 t=42928
yi shen 	已審	c=13 d=4.19081e-34 t=42928
yi shen lie biao 	已審列表	c=1 d=1.31256e-82 t=42928
yi sheng 	一生	c=1 d=9.35125e-06 t=42928
yi sheng 	醫生	c=9 d=0.000335216 t=42928
yi shi 	意識	c=2 d=2.24318e-34 t=42928
yi shi 	醫師	c=3 d=6.32419e-06 t=42928
yi shi dao 	意識到	c=1 d=2.99784e-34 t=42928
yi shi jian 	一時間	c=1 d=1.30073e-05 t=42928
yi shi ke 	一時刻	c=1 d=1.28147e-79 t=42928
yi si 	意思	c=26 d=0.0023344 t=42928
yi suan 	一算	c=1 d=9.72201e-81 t=42928
yi suan 	乙酸	c=1 d=9.67352e-81 t=42928
yi tai 	一臺	c=4 d=1.08458e-15 t=42928
yi tang 	一趟	c=1 d=3.52351e-23 t=42928
yi tao 	一套	c=8 d=0.00733572 t=42928
yi tian 	一天	c=15 d=0.000711464 t=42928
yi tiao 	一條	c=7 d=0.000308231 t=42928
yi tong 	一通	c=0 d=0.1 t=40597
yi tong cao zuo 	一通操作	c=1 d=1 t=40598
yi tu 	意圖	c=1 d=9.90018e-30 t=42928
yi wai 	以外	c=2 d=2.29605e-14 t=42928
yi wai 	意外	c=3 d=5.38219e-07 t=42928
yi wan cheng 	已完成	c=6 d=0.000174255 t=42928
yi wei 	以爲	c=5 d=1.04025e-23 t=42928
yi wen 	疑問	c=3 d=2.46799e-40 t=42928
yi wen qian 	一文錢	c=1 d=2.31228e-38 t=42928
yi xia 	一下	c=281 d=3.69003 t=42928
yi xia 	以下	c=16 d=2.51793e-11 t=42928
yi xia ba 	一下吧	c=1 d=6.81936e-56 t=42928
yi xia de 	一下的	c=1 d=3.60572e-59 t=42928
yi xia zi 	一下子	c=3 d=0.000769323 t=42928
yi xiang 	一想	c=0 d=6.41786e-49 t=42928
yi xiang 	一項	c=1 d=1.80044e-65 t=42928
yi xiao 	一小	c=0 d=7.34547e-49 t=42928
yi xiao duan 	一小段	c=1 d=7.38229e-48 t=42928
yi xie 	一些	c=23 d=0.0526871 t=42928
yi xing qi 	一星期	c=2 d=6.49161e-06 t=42928
yi xue 	醫學	c=1 d=2.83066e-06 t=42928
yi yang 	一樣	c=43 d=0.161097 t=42928
yi yang bei 	一樣唄	c=1 d=2.45093e-76 t=42928
yi yang de 	一樣的	c=1 d=7.45625e-77 t=42928
yi yang hao le 	一樣好了	c=1 d=1.04397e-65 t=42928
yi ye 	一頁	c=2 d=1.7652e-09 t=42928
yi yi 	意義	c=10 d=8.80668e-06 t=42928
yi yi 	異議	c=2 d=1.44949e-28 t=42928
yi yuan 	醫院	c=3 d=5.07232e-05 t=42928
yi zhang 	一張	c=2 d=0.000169951 t=42928
yi zhang biao 	一張表	c=1 d=1.69882e-58 t=42928
yi zhang tu 	一張圖	c=1 d=1.95311e-52 t=42928
yi zhi 	一直	c=23 d=0.00289719 t=42928
